time,L1STAGE,GWFFLOW
  1.000000000000,  10.96196814,  32839.12421
  33.20680741060,  10.92878950,  49562.59604
  81.51701852650,  10.84735706,  60218.04341
  153.9823352003,  10.69678666,  66589.60030
  262.6803102111,  10.46158958,  67987.84797
  425.7272727273,  10.14875013,  64005.17148
  670.2977165015,  9.795413396,  56306.18272
  1037.153382163,  9.459292720,  47715.31332
  1587.436880655,  9.195186450,  40627.44453
  2412.862128393,  9.028340092,  36076.25820
  3651.000000000,  8.945560224,  33782.42193
  3683.206807411,  8.941956870,  34641.96423
  3731.517018526,  8.938084131,  34128.84190
  3803.982335200,  8.942737469,  30791.86146
  3912.680310211,  8.973357056,  27259.63529
  4075.727272727,  9.034593760,  25720.51420
  4320.297716502,  9.115994274,  26427.59931
  4687.153382163,  9.198343927,  28186.54392
  5237.436880655,  9.264342905,  29885.70465
  6062.862128393,  9.306476648,  31033.42610
  7301.000000000,  9.328485081,  31667.29590
